PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35180711,Ontario,287,5,2.364,5,1.485,3,-0.549,4,0.305
35180712,Ontario,336,1,-0.795,2,-0.348,1,-0.876,2,-0.570
35180713,Ontario,136,5,2.170,3,0.083,2,-0.608,3,-0.290
35180714,Ontario,337,4,-0.055,4,0.423,3,-0.544,2,-0.461
35180715,Ontario,496,4,-0.061,3,-0.289,1,-0.915,3,-0.225
35180716,Ontario,952,3,-0.309,2,-0.353,2,-0.678,4,0.008
35180717,Ontario,478,2,-0.677,2,-0.383,1,-0.888,2,-0.538
35180718,Ontario,677,3,-0.119,5,0.684,2,-0.611,4,0.213
35180720,Ontario,517,2,-0.520,1,-1.084,2,-0.750,2,-0.368
35180721,Ontario,322,4,-0.011,3,-0.142,2,-0.671,5,0.736
35180722,Ontario,317,2,-0.572,4,0.214,2,-0.768,3,-0.057
35180723,Ontario,403,1,-0.823,3,-0.280,3,-0.553,3,-0.271
35180724,Ontario,641,3,-0.458,2,-0.408,1,-0.821,5,0.838
35180725,Ontario,263,3,-0.313,2,-0.549,3,-0.501,3,-0.022
35180726,Ontario,550,3,-0.445,1,-0.831,1,-0.868,4,0.527
35180727,Ontario,640,3,-0.433,2,-0.536,2,-0.766,4,0.306
35180732,Ontario,308,2,-0.599,5,1.409,1,-0.818,4,0.178
35180733,Ontario,519,5,1.290,5,1.608,3,-0.519,5,0.855
35180734,Ontario,530,4,0.254,5,1.634,2,-0.751,4,0.162
35180735,Ontario,410,1,-0.983,5,0.841,3,-0.475,4,0.188
35180736,Ontario,474,2,-0.589,1,-1.419,2,-0.766,4,0.288
35180737,Ontario,474,2,-0.789,3,-0.217,2,-0.732,2,-0.507
35180738,Ontario,304,4,0.567,3,-0.189,1,-1.011,4,0.165
35180739,Ontario,737,4,0.731,4,0.489,3,-0.422,4,0.252
35180762,Ontario,357,2,-0.788,4,0.514,2,-0.750,5,0.788
35180767,Ontario,197,4,0.731,3,-0.258,4,0.238,5,0.836
35180768,Ontario,750,5,1.945,5,0.663,3,-0.174,5,4.533
35180769,Ontario,540,3,-0.220,1,-0.886,2,-0.643,4,0.462
35180770,Ontario,510,4,0.216,4,0.386,3,-0.211,5,0.556
35180771,Ontario,375,5,0.863,5,0.959,3,-0.349,5,1.103
35180772,Ontario,348,5,0.967,5,0.935,4,0.053,5,1.291
35180773,Ontario,508,5,2.516,4,0.471,3,-0.450,5,1.467
35180774,Ontario,521,5,1.068,3,0.084,3,-0.279,5,0.969
35180775,Ontario,391,4,0.261,2,-0.344,1,-0.798,4,0.099
35180776,Ontario,472,4,0.356,1,-0.912,2,-0.667,5,0.638
35180777,Ontario,575,4,0.181,2,-0.346,3,-0.502,4,0.138
35180778,Ontario,817,5,1.247,3,0.063,3,-0.310,4,0.319
35180779,Ontario,467,1,-0.898,5,0.962,2,-0.597,3,-0.061
35180780,Ontario,360,2,-0.526,5,1.030,4,-0.091,2,-0.504
35180781,Ontario,310,5,1.658,5,1.590,3,-0.232,3,-0.175
35180782,Ontario,444,5,2.170,4,0.517,4,-0.084,5,3.045
35180783,Ontario,431,5,1.764,4,0.195,3,-0.287,5,1.686
35180784,Ontario,479,5,2.326,4,0.540,3,-0.334,5,2.286
35180786,Ontario,1870,2,-0.703,4,0.346,2,-0.692,2,-0.671
35180791,Ontario,1371,2,-0.760,3,-0.078,3,-0.522,3,-0.323
35180792,Ontario,948,2,-0.708,1,-1.057,2,-0.594,3,-0.263
35180796,Ontario,1048,5,2.432,5,0.888,3,-0.295,5,0.988
35180797,Ontario,1003,3,-0.110,2,-0.511,3,-0.524,2,-0.480
35180798,Ontario,885,2,-0.574,5,0.857,3,-0.372,3,-0.231
35180799,Ontario,1220,5,1.524,4,0.626,3,-0.256,5,1.482
35180800,Ontario,1390,5,1.768,5,0.658,3,-0.183,5,1.788
35180801,Ontario,1931,5,0.846,5,0.704,4,0.218,2,-0.499
35180802,Ontario,1233,2,-0.684,3,-0.136,3,-0.557,1,-0.695
35180803,Ontario,3115,5,1.100,4,0.269,5,1.097,5,0.686
35180804,Ontario,2331,5,2.061,5,1.115,4,-0.113,5,1.099
35180805,Ontario,791,5,2.301,4,0.518,3,-0.387,5,1.950
35180806,Ontario,1230,3,-0.220,3,-0.135,2,-0.638,2,-0.587
35180807,Ontario,866,4,0.440,1,-0.835,2,-0.596,2,-0.435
35180808,Ontario,1030,1,-0.957,2,-0.594,3,-0.232,1,-0.690
35180810,Ontario,550,3,-0.166,4,0.464,3,-0.524,4,0.386
35180816,Ontario,736,2,-0.529,3,-0.222,3,-0.544,4,0.441
35180817,Ontario,368,4,-0.046,2,-0.373,3,-0.515,3,-0.214
35180818,Ontario,454,3,-0.198,4,0.215,2,-0.667,4,0.442
35180819,Ontario,387,4,0.414,2,-0.329,2,-0.696,4,0.421
35180820,Ontario,635,4,0.273,5,1.047,2,-0.601,1,-0.914
35180821,Ontario,786,2,-0.774,2,-0.602,3,-0.528,1,-1.055
35180822,Ontario,367,1,-0.964,2,-0.591,3,-0.278,1,-0.940
35180823,Ontario,972,1,-0.840,1,-0.874,4,0.107,2,-0.549
35180825,Ontario,1393,1,-0.906,1,-0.975,3,-0.168,1,-0.852
35180827,Ontario,768,2,-0.565,1,-0.799,4,0.687,2,-0.666
35180830,Ontario,1891,2,-0.725,1,-1.027,1,-0.799,1,-0.849
35180831,Ontario,2827,2,-0.594,1,-1.300,2,-0.729,1,-0.863
35180832,Ontario,777,1,-0.969,1,-1.199,1,-0.857,2,-0.436
35180833,Ontario,550,1,-1.130,2,-0.357,3,-0.157,2,-0.543
35180834,Ontario,1299,1,-0.851,3,-0.220,3,-0.503,2,-0.626
35180835,Ontario,639,2,-0.698,1,-1.533,4,0.440,1,-1.077
35180836,Ontario,569,3,-0.345,2,-0.359,4,0.316,3,-0.243
35180837,Ontario,579,3,-0.486,1,-0.828,4,0.163,2,-0.399
35180840,Ontario,763,1,-1.045,1,-1.259,4,0.335,1,-0.875
35180841,Ontario,1961,3,-0.170,3,-0.316,4,-0.095,2,-0.492
35180842,Ontario,707,3,-0.480,4,0.384,4,0.025,3,-0.075
35180843,Ontario,565,2,-0.601,4,0.588,2,-0.593,2,-0.433
35180844,Ontario,651,1,-1.001,3,0.045,3,-0.218,2,-0.671
35180845,Ontario,459,4,-0.013,4,0.270,3,-0.503,4,0.097
35180846,Ontario,295,1,-0.881,2,-0.611,2,-0.640,2,-0.463
35180847,Ontario,576,3,-0.171,3,0.079,2,-0.756,5,0.685
35180848,Ontario,503,4,0.134,5,1.036,2,-0.766,5,0.973
35180849,Ontario,405,5,0.882,4,0.427,2,-0.739,5,0.838
35180850,Ontario,568,3,-0.392,5,1.089,2,-0.741,3,-0.263
35180851,Ontario,506,3,-0.342,5,0.970,2,-0.728,4,0.373
35180852,Ontario,572,4,0.078,5,1.655,1,-0.808,3,-0.234
35180853,Ontario,443,2,-0.606,1,-0.897,2,-0.770,4,0.214
35180855,Ontario,281,3,-0.511,4,0.453,1,-0.836,4,0.143
35180856,Ontario,370,3,-0.495,5,0.837,3,-0.420,5,0.594
35180857,Ontario,410,3,-0.384,2,-0.438,1,-0.884,3,-0.106
35180858,Ontario,391,2,-0.724,4,0.119,2,-0.770,3,-0.093
35180859,Ontario,566,3,-0.313,4,0.417,2,-0.629,3,-0.230
35180860,Ontario,391,4,0.199,3,-0.107,1,-0.806,4,0.092
35180861,Ontario,498,3,-0.344,2,-0.335,1,-0.852,2,-0.366
35180862,Ontario,495,2,-0.734,1,-0.887,1,-0.785,4,0.279
35180863,Ontario,423,3,-0.190,1,-0.935,2,-0.769,4,0.050
35180864,Ontario,721,4,-0.073,2,-0.513,1,-0.779,2,-0.473
35180865,Ontario,552,3,-0.257,2,-0.552,1,-0.925,3,-0.164
35180866,Ontario,513,1,-0.930,1,-0.873,2,-0.692,4,0.374
35180867,Ontario,414,2,-0.572,1,-1.993,1,-0.875,4,0.039
35180868,Ontario,531,1,-0.936,2,-0.730,2,-0.757,3,-0.230
35180869,Ontario,446,2,-0.788,2,-0.572,2,-0.694,3,-0.039
35180870,Ontario,481,2,-0.683,3,-0.281,1,-0.845,4,0.429
35180871,Ontario,581,2,-0.604,1,-0.930,2,-0.668,3,-0.321
35180872,Ontario,491,1,-1.005,2,-0.453,1,-0.816,2,-0.456
35180873,Ontario,529,2,-0.641,2,-0.734,2,-0.717,3,-0.262
35180874,Ontario,360,1,-1.116,3,-0.136,1,-0.921,2,-0.417
35180875,Ontario,662,1,-1.078,1,-0.986,1,-0.839,2,-0.395
35180876,Ontario,426,3,-0.378,4,0.202,2,-0.680,2,-0.421
35180877,Ontario,532,2,-0.592,3,-0.067,2,-0.654,5,0.801
35180878,Ontario,856,2,-0.574,2,-0.754,3,-0.509,1,-0.721
35180879,Ontario,555,2,-0.765,4,0.573,3,-0.394,3,-0.136
35180880,Ontario,401,2,-0.714,2,-0.669,3,-0.346,4,0.262
35180881,Ontario,451,2,-0.760,1,-1.530,1,-0.971,1,-0.883
35180882,Ontario,614,3,-0.472,1,-1.053,2,-0.600,2,-0.644
35180883,Ontario,369,3,-0.379,2,-0.659,3,-0.485,4,0.208
35180884,Ontario,265,4,-0.031,4,0.621,3,-0.372,4,0.031
35180885,Ontario,455,3,-0.445,4,0.231,3,-0.419,4,0.325
35180886,Ontario,657,2,-0.704,2,-0.540,3,-0.310,2,-0.566
35180889,Ontario,3989,2,-0.559,2,-0.716,5,1.400,2,-0.680
35180891,Ontario,1217,2,-0.718,2,-0.558,5,0.922,3,-0.306
35180892,Ontario,1661,2,-0.756,1,-0.832,5,1.090,1,-0.752
35180893,Ontario,137,2,-0.623,4,0.283,5,2.061,4,0.075
35180894,Ontario,88,3,-0.393,2,-0.650,5,0.967,2,-0.415
35180895,Ontario,100,1,-1.156,1,-1.349,4,0.170,2,-0.580
35180896,Ontario,128,2,-0.533,2,-0.515,5,1.552,3,-0.177
35180897,Ontario,64,1,-1.057,5,1.059,5,1.795,1,-0.819
35180898,Ontario,55,1,-1.679,1,-1.165,5,0.823,1,-1.499
35180899,Ontario,672,1,-1.134,1,-0.906,4,0.742,2,-0.513
35180900,Ontario,93,1,-1.391,1,-0.913,4,0.647,1,-1.397
35180901,Ontario,119,1,-1.314,4,0.360,4,0.684,1,-1.190
35180902,Ontario,54,1,-1.231,2,-0.662,4,0.778,2,-0.611
35180903,Ontario,163,1,-0.998,4,0.091,4,0.613,4,0.301
35180905,Ontario,382,1,-0.985,2,-0.462,4,0.676,3,-0.256
35180906,Ontario,373,2,-0.653,1,-0.807,5,0.990,2,-0.487
35180907,Ontario,478,2,-0.747,1,-0.875,5,1.189,2,-0.419
35180908,Ontario,590,2,-0.701,1,-1.576,4,0.288,1,-0.792
35180909,Ontario,614,2,-0.700,2,-0.712,4,0.495,2,-0.630
35180910,Ontario,662,4,-0.081,1,-0.968,5,1.158,2,-0.541
35180911,Ontario,454,2,-0.715,1,-1.281,5,0.828,2,-0.454
35180912,Ontario,419,2,-0.730,1,-1.478,4,0.738,2,-0.649
35180913,Ontario,591,2,-0.759,2,-0.395,5,0.869,4,0.388
35180914,Ontario,1103,2,-0.592,1,-0.793,5,1.139,2,-0.393
35180916,Ontario,383,1,-0.914,1,-1.405,4,0.480,3,-0.005
35180917,Ontario,336,2,-0.538,2,-0.725,4,0.450,2,-0.672
35180918,Ontario,520,1,-0.904,1,-1.005,4,0.581,2,-0.645
35180919,Ontario,445,2,-0.683,2,-0.519,4,0.499,2,-0.635
35180920,Ontario,558,2,-0.535,1,-1.096,4,0.257,2,-0.659
35180921,Ontario,1114,2,-0.700,1,-0.843,5,1.120,2,-0.556
35180922,Ontario,1242,4,0.118,1,-0.790,4,0.512,3,-0.332
35180925,Ontario,146,2,-0.771,5,0.688,5,1.538,1,-0.732
35180926,Ontario,1275,4,-0.029,1,-1.030,5,1.048,1,-0.885
35180927,Ontario,318,3,-0.230,3,-0.277,3,-0.283,3,-0.145
35180928,Ontario,534,2,-0.550,3,-0.304,3,-0.222,4,0.048
35180929,Ontario,260,4,0.205,3,-0.253,3,-0.319,4,0.331
35180930,Ontario,636,3,-0.497,3,-0.256,3,-0.288,2,-0.666
35180931,Ontario,668,1,-0.820,3,-0.191,3,-0.387,2,-0.530
35180932,Ontario,541,3,-0.458,1,-0.957,1,-0.779,2,-0.623
35180933,Ontario,482,1,-0.891,1,-1.047,1,-0.780,1,-0.979
35180934,Ontario,757,2,-0.570,1,-1.073,4,0.483,1,-0.785
35180935,Ontario,616,2,-0.623,2,-0.451,4,0.475,2,-0.464
35180936,Ontario,502,2,-0.749,2,-0.583,5,0.965,4,0.166
35180937,Ontario,556,2,-0.760,1,-0.902,4,0.455,3,-0.258
35180938,Ontario,592,2,-0.672,1,-0.839,4,0.224,2,-0.643
35180939,Ontario,427,1,-0.818,1,-1.701,4,-0.014,3,-0.193
35180940,Ontario,396,4,-0.072,1,-0.915,5,0.901,3,-0.062
35180941,Ontario,278,2,-0.670,1,-1.631,3,-0.510,3,-0.060
35180942,Ontario,59,1,-0.974,2,-0.577,5,1.129,2,-0.684
35180943,Ontario,95,1,-1.225,1,-1.463,5,0.875,1,-1.298
35180944,Ontario,126,3,-0.397,2,-0.525,1,-0.869,5,3.159
35180946,Ontario,499,2,-0.665,2,-0.340,3,-0.527,3,-0.329
35180947,Ontario,522,1,-0.886,3,-0.017,1,-0.812,3,-0.189
35180948,Ontario,556,1,-0.846,3,-0.101,1,-0.795,3,-0.045
35180949,Ontario,554,3,-0.109,4,0.620,1,-0.873,3,-0.078
35180950,Ontario,444,2,-0.672,2,-0.474,2,-0.769,3,-0.096
35180951,Ontario,376,2,-0.647,2,-0.627,1,-0.896,4,0.040
35180952,Ontario,471,1,-1.098,5,1.067,2,-0.685,2,-0.634
35180953,Ontario,412,3,-0.299,2,-0.582,2,-0.744,4,0.014
35180954,Ontario,1112,3,-0.392,2,-0.347,3,-0.389,2,-0.636
35180955,Ontario,472,1,-0.985,2,-0.386,1,-0.799,2,-0.608
35180956,Ontario,451,1,-0.907,1,-1.108,2,-0.719,2,-0.492
35180957,Ontario,566,2,-0.761,1,-1.003,2,-0.618,3,-0.100
35180960,Ontario,492,2,-0.709,2,-0.420,2,-0.746,4,0.093
35180961,Ontario,795,3,-0.180,3,-0.083,2,-0.694,3,-0.305
35180962,Ontario,816,2,-0.758,3,-0.195,2,-0.672,1,-0.733
35180963,Ontario,636,1,-1.024,2,-0.762,1,-0.831,1,-0.810
35180964,Ontario,405,1,-1.001,1,-0.998,1,-0.952,4,0.146
35180967,Ontario,417,2,-0.557,5,8.892,1,-0.983,1,-2.066
35180968,Ontario,905,2,-0.673,5,7.359,1,-0.841,1,-1.458
35180969,Ontario,494,2,-0.634,4,0.258,2,-0.629,4,0.248
35180970,Ontario,567,2,-0.746,2,-0.471,1,-0.869,1,-0.775
35180971,Ontario,475,1,-1.170,2,-0.703,2,-0.609,3,-0.004
35180972,Ontario,563,1,-1.012,2,-0.564,1,-0.843,1,-0.787
35180973,Ontario,459,2,-0.689,2,-0.552,1,-0.797,4,0.247
35180974,Ontario,1139,3,-0.278,1,-1.105,2,-0.767,1,-0.939
35180975,Ontario,477,2,-0.640,1,-0.823,2,-0.773,2,-0.480
35180976,Ontario,466,1,-0.956,1,-0.815,5,1.352,5,1.208
35180977,Ontario,477,2,-0.712,4,0.254,2,-0.685,2,-0.361
35180978,Ontario,450,2,-0.608,1,-0.930,1,-0.881,2,-0.361
35180979,Ontario,588,1,-0.910,4,0.326,2,-0.638,2,-0.362
35180980,Ontario,1781,3,-0.120,1,-0.996,3,-0.148,2,-0.609
35180981,Ontario,451,2,-0.542,3,-0.109,2,-0.559,4,0.198
35180982,Ontario,290,1,-0.925,5,0.674,2,-0.574,4,0.416
35180983,Ontario,539,2,-0.641,1,-1.234,2,-0.718,2,-0.637
35180984,Ontario,433,3,-0.355,1,-0.806,3,-0.494,1,-0.892
35180985,Ontario,493,2,-0.754,1,-1.023,2,-0.703,2,-0.642
35180986,Ontario,522,2,-0.735,1,-0.864,2,-0.760,1,-0.842
35180987,Ontario,547,1,-0.795,1,-1.284,3,-0.554,1,-0.893
35180988,Ontario,326,4,-0.070,5,1.209,2,-0.573,5,1.034
35180989,Ontario,2641,2,-0.692,1,-1.372,3,-0.484,1,-1.007
35180990,Ontario,292,2,-0.636,1,-1.096,2,-0.638,1,-0.791
35180991,Ontario,1718,4,0.079,1,-0.848,3,-0.496,2,-0.559
35180992,Ontario,331,1,-0.899,1,-1.329,1,-0.853,1,-0.850
35180993,Ontario,538,2,-0.584,1,-1.518,2,-0.570,1,-0.782
35180994,Ontario,2071,4,0.528,1,-0.822,3,-0.532,1,-0.907
35180995,Ontario,1094,3,-0.191,1,-0.963,2,-0.575,2,-0.478
35180996,Ontario,1009,2,-0.762,1,-1.071,2,-0.723,2,-0.421
35180997,Ontario,622,2,-0.629,2,-0.637,2,-0.685,1,-0.799
35180998,Ontario,395,2,-0.768,3,-0.296,2,-0.714,2,-0.461
35181002,Ontario,709,2,-0.719,2,-0.441,4,-0.029,2,-0.465
35181003,Ontario,450,3,-0.307,1,-0.965,3,-0.441,3,-0.076
35181004,Ontario,509,4,0.097,3,0.013,3,-0.275,5,0.678
35181005,Ontario,424,1,-1.106,4,0.404,3,-0.383,2,-0.673
35181007,Ontario,382,1,-0.906,4,0.343,2,-0.637,3,-0.349
35181008,Ontario,587,4,0.022,2,-0.428,5,0.820,1,-1.143
35181009,Ontario,414,2,-0.735,1,-0.872,3,-0.369,1,-0.930
35181010,Ontario,398,2,-0.587,2,-0.594,1,-0.876,2,-0.423
35181011,Ontario,524,1,-0.883,1,-1.042,1,-0.780,2,-0.495
35181012,Ontario,353,2,-0.571,4,0.513,2,-0.562,4,0.410
35181013,Ontario,536,1,-0.824,3,-0.259,1,-0.805,2,-0.478
35181014,Ontario,570,1,-0.977,2,-0.430,1,-0.856,2,-0.624
35181015,Ontario,395,5,1.438,3,-0.127,4,0.073,4,0.514
35181016,Ontario,1653,3,-0.489,1,-1.507,3,-0.384,1,-1.164
35181017,Ontario,291,5,1.834,2,-0.476,2,-0.590,5,1.101
35181018,Ontario,314,3,-0.147,1,-1.106,2,-0.576,1,-1.059
35181019,Ontario,754,5,1.708,5,2.267,2,-0.561,1,-1.127
35181020,Ontario,338,1,-0.995,2,-0.521,3,-0.211,1,-0.736
35181021,Ontario,545,1,-1.355,1,-1.317,3,-0.267,2,-0.641
35181022,Ontario,796,1,-1.093,1,-1.263,3,-0.415,1,-0.919
35181023,Ontario,511,1,-0.852,1,-1.052,3,-0.466,1,-1.188
35181024,Ontario,620,1,-1.101,1,-1.045,2,-0.620,1,-0.971
35181030,Ontario,310,3,-0.430,4,0.546,2,-0.611,5,0.697
35181032,Ontario,2492,3,-0.355,4,0.195,3,-0.520,1,-0.819
35181034,Ontario,389,4,-0.011,2,-0.338,3,-0.496,3,0.005
35181035,Ontario,497,4,-0.067,2,-0.410,2,-0.776,4,0.392
35181036,Ontario,356,2,-0.554,4,0.403,3,-0.552,2,-0.673
35181038,Ontario,282,1,-0.905,2,-0.334,4,0.529,2,-0.514
35181039,Ontario,615,1,-0.931,1,-1.044,4,0.184,1,-0.865
35181040,Ontario,592,1,-0.881,2,-0.608,4,0.218,2,-0.634
35181041,Ontario,2475,4,-0.005,1,-0.972,5,1.636,1,-0.815
35181042,Ontario,2943,4,-0.002,1,-0.967,5,0.960,1,-0.831
35181043,Ontario,627,3,-0.366,1,-0.998,5,1.291,3,-0.156
35181044,Ontario,1044,3,-0.401,2,-0.363,4,0.680,4,0.020
35181045,Ontario,751,2,-0.764,1,-1.139,3,-0.148,2,-0.531
35181046,Ontario,380,1,-1.145,2,-0.632,4,0.043,1,-1.059
35181047,Ontario,570,1,-0.830,1,-1.226,4,0.347,2,-0.366
35181048,Ontario,1000,2,-0.638,2,-0.367,5,0.791,3,-0.215
35181049,Ontario,743,5,0.844,5,1.254,4,0.310,1,-0.789
35181050,Ontario,486,3,-0.188,2,-0.578,5,1.205,2,-0.371
35181051,Ontario,1449,5,2.229,4,0.193,5,0.985,5,0.621
35181052,Ontario,625,5,1.303,5,4.898,3,-0.364,1,-0.706
35181053,Ontario,378,3,-0.507,1,-1.678,4,0.280,2,-0.446
35181055,Ontario,628,5,1.187,1,-0.921,3,-0.335,4,0.324
35181056,Ontario,675,1,-0.897,1,-0.916,3,-0.150,2,-0.421
35181057,Ontario,611,3,-0.477,1,-1.647,4,0.165,1,-0.933
35181058,Ontario,146,3,-0.496,1,-2.772,3,-0.392,1,-1.708
35181063,Ontario,1333,3,-0.489,1,-0.903,4,0.298,2,-0.534
35181064,Ontario,942,1,-0.977,1,-0.831,4,0.278,1,-0.691
35181065,Ontario,640,2,-0.541,1,-1.214,3,-0.188,2,-0.623
35181068,Ontario,784,2,-0.593,3,-0.150,5,1.544,3,-0.298
35181069,Ontario,946,2,-0.766,2,-0.636,5,0.884,2,-0.671
35181070,Ontario,1291,3,-0.468,1,-0.810,5,1.613,2,-0.556
35181071,Ontario,1119,2,-0.565,1,-0.863,5,0.993,1,-0.743
35181072,Ontario,788,3,-0.237,1,-1.260,5,1.446,1,-1.002
35181073,Ontario,1095,5,1.648,5,2.281,4,0.356,1,-1.257
35181075,Ontario,724,5,1.100,5,7.126,2,-0.770,1,-1.877
35181076,Ontario,2098,2,-0.605,1,-0.874,5,1.106,1,-0.837
35181077,Ontario,1186,2,-0.774,1,-1.372,5,1.155,1,-1.028
35181078,Ontario,3244,3,-0.211,1,-0.904,5,1.384,1,-0.918
35181079,Ontario,1910,2,-0.599,1,-1.240,5,0.873,1,-0.806
35181080,Ontario,4236,3,-0.404,1,-1.021,5,1.384,1,-0.713
35181081,Ontario,1011,1,-0.903,1,-1.087,3,-0.406,1,-0.921
35181082,Ontario,1380,1,-1.047,1,-1.162,4,-0.104,1,-0.778
35181083,Ontario,1689,1,-1.065,1,-0.795,4,-0.092,1,-0.773
35181084,Ontario,680,4,0.020,1,-1.007,5,0.967,1,-1.284
35181085,Ontario,448,2,-0.521,1,-1.510,4,0.413,1,-1.040
35181089,Ontario,328,2,-0.655,5,0.730,3,-0.441,3,-0.191
35181091,Ontario,791,1,-1.018,1,-0.958,3,-0.509,1,-0.913
35181092,Ontario,652,1,-1.103,1,-1.349,4,-0.075,1,-0.795
35181093,Ontario,849,1,-0.860,1,-0.847,3,-0.506,2,-0.562
35181094,Ontario,863,1,-0.870,1,-1.275,3,-0.271,1,-1.146
35181095,Ontario,2221,3,-0.457,1,-1.066,4,0.338,1,-1.075
35181097,Ontario,218,2,-0.750,2,-0.380,4,0.196,2,-0.371
35181099,Ontario,824,3,-0.418,1,-1.080,4,0.373,1,-0.764
35181100,Ontario,582,3,-0.295,1,-1.447,4,0.249,3,-0.316
35181101,Ontario,1160,4,0.026,1,-1.438,4,0.595,1,-0.867
35181102,Ontario,985,2,-0.595,2,-0.475,4,0.012,2,-0.602
35181103,Ontario,1124,2,-0.642,2,-0.642,3,-0.315,2,-0.561
35181104,Ontario,339,2,-0.625,1,-1.278,4,-0.120,2,-0.538
35181105,Ontario,518,1,-1.052,2,-0.459,3,-0.162,2,-0.639
35181106,Ontario,310,1,-1.039,1,-1.269,2,-0.738,1,-0.929
35181107,Ontario,1430,2,-0.541,2,-0.726,4,-0.014,1,-0.829
35181108,Ontario,490,3,-0.455,2,-0.371,3,-0.179,1,-0.818
35181109,Ontario,948,1,-0.908,2,-0.687,3,-0.386,2,-0.520
35181110,Ontario,945,3,-0.325,1,-0.800,2,-0.598,3,-0.111
35181111,Ontario,862,4,-0.039,1,-0.856,3,-0.243,2,-0.398
35181112,Ontario,561,2,-0.755,4,0.487,3,-0.283,3,-0.336
35181113,Ontario,467,4,-0.099,3,-0.003,5,1.687,3,-0.241
35181114,Ontario,725,2,-0.740,4,0.155,3,-0.317,1,-0.743
35181115,Ontario,765,3,-0.363,3,-0.306,4,0.044,2,-0.463
35181116,Ontario,674,1,-0.818,1,-1.195,3,-0.385,2,-0.587
35181117,Ontario,628,2,-0.711,1,-1.527,3,-0.531,1,-1.201
35181118,Ontario,2504,4,0.130,3,0.087,3,-0.414,1,-0.965
35181119,Ontario,1018,2,-0.693,2,-0.656,3,-0.426,1,-0.786
35181120,Ontario,1077,2,-0.748,1,-0.803,1,-0.834,2,-0.593
35181121,Ontario,919,4,0.033,3,0.007,2,-0.620,4,0.061
35181122,Ontario,529,1,-0.835,1,-0.902,4,0.408,2,-0.582
35181123,Ontario,1169,2,-0.676,1,-1.535,4,0.593,1,-0.972
35181124,Ontario,673,1,-0.945,1,-0.836,3,-0.233,2,-0.593
35181125,Ontario,541,1,-1.087,2,-0.522,3,-0.438,1,-0.788
35181126,Ontario,1144,3,-0.493,1,-1.044,4,0.084,1,-0.724
35181127,Ontario,427,1,-1.100,1,-1.175,3,-0.476,2,-0.672
35181128,Ontario,356,3,-0.346,1,-1.519,4,-0.092,1,-1.085
35181129,Ontario,1435,4,0.314,3,-0.210,4,-0.023,1,-0.809
35181130,Ontario,1155,2,-0.610,2,-0.504,4,-0.113,2,-0.507
35181131,Ontario,2595,3,-0.417,3,-0.275,4,0.184,1,-0.823
35181132,Ontario,1399,2,-0.650,2,-0.423,4,0.016,3,-0.351
35181133,Ontario,1083,1,-0.865,2,-0.667,3,-0.475,2,-0.624
35181134,Ontario,1646,3,-0.225,1,-1.074,4,0.596,1,-0.922
35181135,Ontario,1516,2,-0.703,2,-0.604,4,0.718,2,-0.460
35181136,Ontario,1260,2,-0.582,1,-1.167,4,0.257,1,-0.849
35181137,Ontario,997,2,-0.532,1,-0.940,4,0.415,1,-0.756
35181138,Ontario,1185,1,-0.800,1,-1.398,4,-0.004,1,-0.863
35181139,Ontario,757,1,-0.802,2,-0.760,2,-0.575,2,-0.442
35181140,Ontario,808,4,0.511,1,-0.939,3,-0.413,4,0.061
35181141,Ontario,829,3,-0.511,4,0.223,4,0.529,1,-0.720
35181142,Ontario,613,3,-0.282,3,-0.260,3,-0.233,3,-0.265
35181143,Ontario,368,3,-0.440,2,-0.622,4,0.749,2,-0.435
35181144,Ontario,534,1,-1.040,1,-1.563,3,-0.168,1,-0.996
35181145,Ontario,484,4,-0.031,2,-0.608,4,0.777,1,-0.867
35181146,Ontario,829,5,1.205,2,-0.666,4,-0.030,2,-0.683
35181147,Ontario,1082,1,-0.957,1,-1.303,2,-0.668,1,-1.050
35181148,Ontario,740,2,-0.727,1,-0.929,3,-0.549,2,-0.616
35181149,Ontario,1280,1,-0.825,1,-0.959,2,-0.731,1,-0.882
35181150,Ontario,345,2,-0.684,1,-1.244,2,-0.776,1,-1.090
35181151,Ontario,651,2,-0.570,1,-1.403,3,-0.327,1,-0.951
35181152,Ontario,3496,2,-0.623,1,-1.200,3,-0.457,1,-1.022
35181153,Ontario,425,1,-1.082,1,-1.225,2,-0.696,1,-1.156
35181154,Ontario,948,2,-0.738,3,-0.270,2,-0.628,2,-0.559
35181155,Ontario,514,1,-0.922,1,-1.559,3,-0.512,2,-0.529
35181156,Ontario,744,1,-0.819,2,-0.472,2,-0.654,2,-0.666
35181157,Ontario,511,1,-1.042,1,-1.115,2,-0.704,1,-0.691
35181158,Ontario,348,1,-1.192,1,-1.359,4,-0.084,1,-1.214
35181159,Ontario,866,2,-0.669,1,-1.190,4,0.139,1,-0.893
35181160,Ontario,586,2,-0.647,2,-0.755,4,0.291,2,-0.635
35181161,Ontario,419,2,-0.635,1,-1.085,4,0.155,4,0.461
35181162,Ontario,509,1,-1.010,1,-0.851,4,-0.096,1,-1.139
