PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35010244,Ontario,604,5,1.195,4,0.548,3,-0.522,5,1.244
35010245,Ontario,564,5,1.322,4,0.608,2,-0.663,5,2.186
35010246,Ontario,506,5,0.768,5,1.048,1,-0.784,3,-0.107
35010247,Ontario,643,5,2.626,5,4.069,1,-0.848,5,0.806
35010248,Ontario,343,5,2.627,5,10.319,1,-1.336,2,-0.401
35010249,Ontario,475,4,0.676,5,1.272,2,-0.609,5,1.238
35010250,Ontario,350,3,-0.136,3,-0.247,1,-0.964,4,0.364
35010251,Ontario,348,1,-0.999,3,-0.022,1,-0.837,3,-0.047
35010252,Ontario,341,4,0.116,4,0.251,1,-0.796,4,0.249
35010253,Ontario,607,4,0.287,5,0.677,1,-0.786,2,-0.483
35010254,Ontario,376,2,-0.727,4,0.300,2,-0.698,2,-0.667
35010255,Ontario,221,3,-0.153,4,0.302,2,-0.598,4,0.367
35010256,Ontario,367,3,-0.300,4,0.181,2,-0.663,5,1.064
35010257,Ontario,390,4,0.509,3,0.040,1,-0.854,3,-0.351
35010258,Ontario,494,2,-0.527,4,0.513,2,-0.751,2,-0.533
35010259,Ontario,271,3,-0.253,4,0.106,1,-0.809,2,-0.637
35010260,Ontario,698,4,0.243,4,0.450,3,-0.377,4,0.531
35010261,Ontario,485,4,0.033,4,0.409,2,-0.561,5,0.861
35010262,Ontario,337,3,-0.149,5,0.926,3,-0.400,4,0.488
35010263,Ontario,263,2,-0.655,5,1.596,1,-1.017,2,-0.458
35010264,Ontario,532,4,0.094,5,1.161,3,-0.212,4,0.445
35010265,Ontario,416,1,-0.861,4,0.209,2,-0.684,2,-0.367
35010266,Ontario,615,5,0.878,5,1.641,2,-0.681,4,0.099
35010267,Ontario,441,4,0.079,5,1.274,2,-0.772,5,1.120
35010268,Ontario,456,5,1.922,5,1.236,3,-0.519,5,0.944
35010269,Ontario,457,3,-0.234,5,0.733,2,-0.733,3,-0.194
35010270,Ontario,532,5,1.654,4,0.292,3,-0.238,5,2.390
35010271,Ontario,303,5,0.938,4,0.139,2,-0.603,5,1.414
35010272,Ontario,352,5,1.441,4,0.630,3,-0.356,5,2.782
35010273,Ontario,708,2,-0.552,4,0.332,1,-0.825,5,0.575
35010274,Ontario,517,1,-0.945,4,0.477,1,-0.829,4,0.044
35010275,Ontario,747,1,-0.981,4,0.388,2,-0.777,4,0.285
35010276,Ontario,682,3,-0.497,1,-0.852,1,-0.951,3,-0.186
35010277,Ontario,620,2,-0.615,1,-1.011,1,-0.944,4,0.047
35010278,Ontario,455,1,-1.037,3,-0.073,2,-0.670,3,-0.047
35010279,Ontario,302,1,-1.084,3,-0.258,1,-0.928,3,-0.019
35010280,Ontario,440,1,-0.961,3,0.045,1,-0.809,4,0.047
35010281,Ontario,399,1,-0.986,2,-0.365,1,-0.985,4,0.187
35010282,Ontario,478,2,-0.664,2,-0.701,1,-1.049,2,-0.448
35010283,Ontario,367,3,-0.449,3,0.006,1,-1.003,4,0.076
35010284,Ontario,419,1,-0.979,2,-0.676,1,-0.891,3,-0.094
35010285,Ontario,464,3,-0.437,4,0.368,1,-0.811,5,0.885
35010286,Ontario,491,1,-0.997,2,-0.762,1,-0.912,2,-0.374
35010287,Ontario,511,2,-0.565,2,-0.457,1,-0.868,4,0.215
35010288,Ontario,424,3,-0.237,1,-1.121,1,-0.925,4,0.007
35010289,Ontario,560,3,-0.263,1,-1.213,1,-0.983,2,-0.598
35010290,Ontario,377,1,-0.914,1,-1.759,1,-1.051,3,-0.236
35010291,Ontario,426,2,-0.583,1,-1.146,1,-0.788,2,-0.398
35010292,Ontario,462,1,-0.918,1,-1.195,1,-0.917,2,-0.632
35010293,Ontario,646,2,-0.713,1,-1.171,2,-0.679,4,0.074
35010294,Ontario,775,3,-0.389,4,0.255,2,-0.725,3,-0.006
35010295,Ontario,408,3,-0.127,5,0.787,1,-0.813,3,-0.104
35010296,Ontario,392,4,0.602,4,0.474,1,-0.963,4,0.439
35010297,Ontario,430,3,-0.440,2,-0.746,1,-0.983,3,-0.031
35010298,Ontario,497,1,-1.059,3,-0.161,1,-0.807,4,0.043
35010299,Ontario,510,1,-0.985,3,-0.307,1,-0.846,2,-0.459
35010300,Ontario,551,2,-0.569,3,-0.183,1,-0.860,4,0.278
35010301,Ontario,409,2,-0.645,3,0.062,1,-0.824,4,0.189
35010302,Ontario,572,4,0.063,5,1.228,1,-0.833,3,-0.156
35010303,Ontario,450,2,-0.733,5,0.920,2,-0.623,5,0.796
35010304,Ontario,399,4,0.189,5,2.491,3,-0.467,5,1.033
35010305,Ontario,528,1,-0.929,3,-0.035,1,-0.959,2,-0.649
35010306,Ontario,525,2,-0.694,5,0.929,1,-0.777,3,-0.348
35010307,Ontario,480,2,-0.564,5,1.034,2,-0.734,4,0.268
35010308,Ontario,460,4,0.133,5,1.877,2,-0.700,3,-0.124
35010309,Ontario,432,5,0.930,5,1.879,3,-0.480,5,1.759
35010310,Ontario,524,4,-0.056,5,1.259,1,-0.859,3,-0.235
35010311,Ontario,537,2,-0.666,5,0.781,2,-0.629,5,1.041
35010312,Ontario,478,2,-0.761,5,0.826,1,-0.948,3,-0.311
35010313,Ontario,659,2,-0.605,5,0.682,1,-0.922,2,-0.496
35010314,Ontario,621,4,0.109,5,1.760,1,-0.848,3,-0.175
35010315,Ontario,771,3,-0.435,3,0.055,1,-0.850,2,-0.372
35010316,Ontario,376,4,-0.007,5,1.168,2,-0.773,5,0.895
35010317,Ontario,760,2,-0.716,4,0.355,1,-0.857,2,-0.567
35010318,Ontario,598,4,0.334,4,0.591,2,-0.762,3,-0.108
35010319,Ontario,562,3,-0.397,2,-0.361,2,-0.744,1,-0.748
35010320,Ontario,806,1,-1.006,3,-0.303,1,-0.902,2,-0.528
35010321,Ontario,456,2,-0.739,1,-0.786,2,-0.698,2,-0.369
35010322,Ontario,509,1,-0.838,1,-0.796,1,-0.862,4,0.339
35010323,Ontario,706,2,-0.578,5,0.791,1,-0.856,2,-0.418
35010324,Ontario,593,3,-0.257,5,1.536,1,-0.837,3,-0.132
35010325,Ontario,490,4,0.725,5,1.894,1,-0.974,3,-0.223
35010326,Ontario,496,2,-0.713,4,0.159,1,-0.872,3,-0.128
35010327,Ontario,539,2,-0.737,3,-0.255,1,-0.867,5,0.959
35010328,Ontario,551,2,-0.692,4,0.120,2,-0.612,5,0.741
35010329,Ontario,492,2,-0.703,3,-0.082,1,-1.008,4,0.225
35010330,Ontario,451,3,-0.358,4,0.111,2,-0.624,5,0.561
35010331,Ontario,450,2,-0.608,3,-0.018,1,-0.819,4,0.243
35010332,Ontario,552,1,-0.810,2,-0.761,1,-0.929,2,-0.364
35010333,Ontario,412,4,-0.088,3,-0.290,1,-0.825,4,0.050
35010334,Ontario,507,4,0.189,4,0.508,1,-0.909,2,-0.360
35010335,Ontario,377,2,-0.733,2,-0.401,1,-0.972,2,-0.597
35010336,Ontario,623,5,0.959,5,1.973,2,-0.661,4,0.144
35010337,Ontario,528,3,-0.336,2,-0.357,1,-0.781,4,0.136
35010338,Ontario,463,1,-0.889,1,-0.781,1,-1.024,2,-0.457
35010339,Ontario,768,1,-0.958,2,-0.457,1,-0.797,3,-0.270
35010340,Ontario,455,1,-1.220,2,-0.580,1,-0.933,4,0.353
35010341,Ontario,439,1,-0.966,3,-0.192,1,-0.839,4,0.049
35010342,Ontario,502,3,-0.396,1,-0.846,1,-0.994,3,-0.268
35010343,Ontario,425,2,-0.725,3,0.080,1,-0.953,4,0.048
35010344,Ontario,543,2,-0.522,3,0.062,1,-0.857,2,-0.518
35010345,Ontario,393,2,-0.771,1,-1.254,1,-0.974,3,-0.073
35010346,Ontario,501,4,-0.049,4,0.256,1,-0.961,2,-0.431
35010347,Ontario,529,2,-0.752,2,-0.384,1,-0.954,2,-0.456
35010348,Ontario,487,1,-1.013,2,-0.486,1,-0.879,4,0.299
35010349,Ontario,263,3,-0.118,4,0.144,2,-0.696,4,0.450
35010350,Ontario,429,3,-0.389,1,-1.074,1,-0.955,4,0.247
35010351,Ontario,381,4,0.033,3,-0.276,1,-0.959,3,-0.158
35010352,Ontario,370,2,-0.617,1,-0.766,1,-1.007,3,-0.007
35010353,Ontario,483,1,-0.859,2,-0.437,2,-0.749,4,0.446
35010354,Ontario,461,2,-0.557,3,-0.001,1,-0.887,3,-0.215
35010355,Ontario,542,1,-0.825,2,-0.464,1,-0.854,5,0.662
35010356,Ontario,604,2,-0.552,4,0.442,2,-0.739,3,-0.154
35010357,Ontario,567,1,-0.918,2,-0.691,1,-0.892,4,0.021
35010358,Ontario,559,2,-0.716,3,0.022,2,-0.773,4,0.012
35010359,Ontario,540,1,-0.872,5,1.981,1,-0.801,3,-0.188
35010360,Ontario,440,1,-0.931,4,0.319,1,-0.885,3,-0.281
35010361,Ontario,439,5,1.523,5,1.020,3,-0.512,5,0.841
35010362,Ontario,493,4,0.219,4,0.517,1,-0.811,4,0.243
35010363,Ontario,481,5,0.887,5,2.011,2,-0.736,3,-0.238
35010364,Ontario,423,4,0.372,5,0.755,2,-0.647,5,0.611
35010365,Ontario,530,5,1.242,5,0.854,1,-0.881,5,1.214
35010366,Ontario,473,4,-0.057,5,1.860,2,-0.708,5,0.643
35010367,Ontario,749,2,-0.577,4,0.471,1,-0.833,3,-0.332
35010369,Ontario,436,2,-0.649,3,-0.111,1,-0.852,3,-0.153
35010370,Ontario,1009,3,-0.446,3,-0.149,3,-0.178,2,-0.605
35010371,Ontario,487,1,-0.872,2,-0.648,2,-0.749,3,-0.254
35010372,Ontario,319,3,-0.302,3,0.006,3,-0.549,5,0.928
35010373,Ontario,421,5,0.852,4,0.228,1,-0.857,4,0.069
35010374,Ontario,447,4,0.193,5,1.347,3,-0.529,5,0.644
35010375,Ontario,457,1,-1.064,5,1.439,3,-0.551,1,-0.903
35010376,Ontario,616,3,-0.382,4,0.621,1,-0.951,2,-0.446
35010399,Ontario,400,3,-0.321,5,0.816,1,-0.950,2,-0.543
35010400,Ontario,501,4,0.214,5,1.199,1,-0.900,4,0.296
35010401,Ontario,617,2,-0.743,3,-0.010,2,-0.707,4,0.068
35010402,Ontario,489,1,-0.868,3,-0.318,2,-0.718,2,-0.375
35010403,Ontario,421,4,0.413,5,0.695,2,-0.731,4,0.351
35010404,Ontario,921,3,-0.210,5,0.991,1,-1.032,2,-0.379
35010405,Ontario,438,2,-0.581,1,-1.390,3,-0.556,2,-0.556
35010406,Ontario,405,1,-1.004,3,-0.229,1,-0.828,3,-0.271
35010407,Ontario,915,3,-0.319,5,0.772,1,-1.092,5,5.325
